Unique ID	Name	Color	Pitch	Cost	Power	Defense	Health	Intelligence	Arcane	Types	Traits	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Removed Keywords	Interacts with Keywords	Functional Text	Type Text	Card Played Horizontally	Blitz Legal	CC Legal	Commoner Legal	LL Legal
FM9T9Dg8bj9h9MW7k9HCQ	10,000 Year Reunion	Red	1	8		3				Illusionist, Action, Aura		Ward 10						"You may remove three +1{p} counters from among auras you control rather than pay 10,000 Year Reunion's {r} cost.

**Ward 10**"	Illusionist Action - Aura	False	True	True	False	True
CqNB8MLzfCh6tRP6RRMdj	A Drop in the Ocean	Blue	3	0						Mystic, Instant		Legendary, Transcend						"**Legendary**

Target attack gets -1{p}.

If you've played another blue card this turn, **transcend**."	Mystic Instant	False	True	True	True	True
MJBz8WMNzRWccphkkbMzc	A Good Clean Fight	Red	1	3	7	3				Revered, Action, Attack								If this is attacking a hero, non-equipment cards they own lose and can't gain abilities.	Revered Action - Attack	False	True	True	False	True
dTKDHwdcrLNPPb6ktczmR	Absorb in Aether	Red	1	1		4				Wizard, Defense Reaction								The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.	Wizard Defense Reaction	False	True	True	False	True
tWKN9zRJdgFmpw6pmPmkR	Absorb in Aether	Yellow	2	1		3				Wizard, Defense Reaction								The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.	Wizard Defense Reaction	False	True	True	False	True
WkDkrkTDzRnqWBh7WHJfh	Absorb in Aether	Blue	3	1		2				Wizard, Defense Reaction								The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 2.	Wizard Defense Reaction	False	True	True	False	True
6j7RrdTPfczH7PhHm8Brq	Absorption Dome	Yellow	2	0						Mechanologist, Action, Item							Boost	"Absorption Dome enters the arena with steam counters on it equal to the number of times you have **boosted** this turn.

If your hero would be dealt damage, remove that many steam counters from Absorption Dome instead, then prevent damage equal to the number of steam counters removed this way.

When Absorption Dome has no steam counters on it, destroy it."	Mechanologist Action - Item	False	True	True	False	True
C7jcJhrdpQTMfd7F79jK9	Achilles Accelerator					0				Mechanologist, Equipment, Legs		Arcane Barrier 1	Instant				Boost	"**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.

**Arcane Barrier 1**"	Mechanologist Equipment - Legs	False	True	True	True	True
gDzD7QkWQPMFTHNmGpHbJ	Act of Glory	Red	1	4		3				Guardian, Instant, Aura		Suspense						"**Suspense**

When this leaves the arena, your next attack this turn gets +6{p}."	Guardian Instant - Aura	False	True	True	True	True
c7L7tfCdjwwjb9MQfTNDQ	Act of Glory	Yellow	2	4		3				Guardian, Instant, Aura		Suspense						"**Suspense**

When this leaves the arena, your next attack this turn gets +5{p}."	Guardian Instant - Aura	False	True	True	True	True
mb9NWzptP6Cnzk9tjMP8f	Act of Glory	Blue	3	4		3				Guardian, Instant, Aura		Suspense						"**Suspense**

When this leaves the arena, your next attack this turn gets +4{p}."	Guardian Instant - Aura	False	True	True	True	True
Wmr8NmHdQCmPCbMBPncTq	Adaptive Alpha Mold					1				Mechanologist, Equipment, Base		Modular, Battleworn						"**Modular**

**Action** - 0: Equip this to another equipment zone.

**Battleworn**"	Mechanologist Equipment - Base	False	True	True	False	True
8TPwpCdF6GRn7cQRRGjQJ	Adaptive Dissolver									Mechanologist, Equipment, Base		Modular, Arcane Barrier 1	Action					"**Modular**

**Action** - 0: Equip this to another equipment zone.

**Arcane Barrier 1**"	Mechanologist Equipment - Base	False	True	True	False	True
mkTDPKqkm7cprrDzWbF9z	Adaptive Plating					1				Mechanologist, Equipment		Modular, Galvanize, Blade Break	Action					"**Modular**

**Action** - 0: Equip this to another equipment zone.

**Galvanize** - When this defends, you may destroy an item you control. If you do, this gets +2{d} until end of turn.

**Blade Break**"	Mechanologist Equipment	False	True	True	False	True
W7wh8hBkTd9ntjtFfqrdz	Adrenaline Rush	Red	1	2	4	2				Generic, Action, Attack								When you play this, if you have less {h} than an opposing hero, this gets +3{p}.	Generic Action - Attack	False	True	True	True	True
KjgnpjTfDBhndccFCCDHn	Adrenaline Rush	Yellow	2	2	3	2				Generic, Action, Attack								When you play this, if you have less {h} than an opposing hero, this gets +3{p}.	Generic Action - Attack	False	True	True	True	True
bTCfkj7Q8WQKHcnhGqHCr	Adrenaline Rush	Blue	3	2	2	2				Generic, Action, Attack								When you play this, if you have less {h} than an opposing hero, this gets +3{p}.	Generic Action - Attack	False	True	True	True	True
KtgRgFrrFDpzMQDJLLMwt	Aegis, Archangel of Protection				4		4			Light, Angel, Ally		Ward 4	Once per Turn Action	Attack				"**Once per Turn Action** - {r}{r}: **Attack**

When Aegis attacks, you may banish a card from your hero's soul. If you do, create 2 Spectral Shield tokens.

**Ward 4**"	Light - Angel Ally	False	True	True	False	True
BzkLdhrmkWpnbDBWNMJhp	Aether Arc	Blue	3	0		3			1	Wizard, Action								"Deal 1 arcane damage to each opposing hero.

Create a Ponder token for each hero dealt damage this way."	Wizard Action	False	True	True	False	True
pLwDDWbJgbKkQCpzDrc7Q	Aether Ashwing				1		1			Draconic, Illusionist, Token, Dragon, Ally		Arcane Barrier 1						**Arcane Barrier 1**	Draconic Illusionist Token - Dragon Ally	False	True	True	True	True
8rwTJkbzktjbhbQbPCKrc	Aether Bindings of the Third Age					1				Wizard, Equipment, Arms		Battleworn	Instant	Amp 1				"**Instant** - Destroy this: Until end of turn, whenever an aura permanent you control with Sigil in its name leaves the arena, **amp 1**.

**Battleworn**"	Wizard Equipment - Arms	False	True	True	False	True
HFnfqgNGj6JdDwMjDC7KQ	Aether Conduit								2	Wizard, Weapon, Staff, 2H			Once per Turn Action					**Once per Turn Action** - {r}{r}: Deal 2 arcane damage to target hero.	Wizard Weapon - Staff (2H)	False	True	True	True	True
BhFQMNHMHH9ddMH86tqQ9	Aether Crackers					0			1	Runeblade, Equipment, Arms								When an attack you control hits a hero, you may destroy this. If you do, deal 1 arcane damage to them.	Runeblade Equipment - Arms	False	True	True	True	True
w6BQnKDGdGkHCTzjF6htg	Aether Dart	Red	1	0		3			3	Wizard, Action								Deal 3 arcane damage to any target.	Wizard Action	False	True	True	True	True
cdTzctFmkNMpNK6HzT8nd	Aether Dart	Yellow	2	0		3			2	Wizard, Action								Deal 2 arcane damage to any target.	Wizard Action	False	True	True	True	True
